Row #,Species,Count,Location,S/P,Date,LocID,SubID
3016,Sooty-headed Tyrannulet,5,Reserva Mangaloma,EC-P,07 Apr 2006,L600104,S26162754
3017,Black-capped Tyrannulet,1,San Antonio de las Montañas,EC-T,13 May 2006,L4058208,S26224898
3018,Ashy-headed Tyrannulet,1,Cordillera Guacamayos--Trail from parking area,EC-N,22 Jun 2006,L468859,S26162779
3019,Tawny-rumped Tyrannulet,1,Papallacta--La Virgen y alrededores inmediatos (Pass and immediate vicinity),EC-N,27 Apr 2006,L1491931,S26224908
3020,Plumbeous-crowned Tyrannulet,1,Cordillera Guacamayos--Trail from parking area,EC-N,23 Jun 2006,L468859,S26162815
3021,Gray-capped Tyrannulet,1,PE Intervales,BR-SP,02 Oct 2014,L972187,S27901964
3022,Paltry Tyrannulet,,Wilson Botanical Garden (OTS Las Cruces),CR-P,22 Dec 2003,L441320,S30625757
3023,Choco Tyrannulet,1,Reserva Mangaloma,EC-P,05 Apr 2006,L600104,S26162418
3024,Bolivian Tyrannulet,3,Abra Maruncunca (Valqui 7.3),PE-PUN,08 Nov 2009,L2293372,S27891713
3025,Red-billed Tyrannulet,1,WildSumaco Lodge,EC-N,26 Jan 2011,L858993,S27897475
3026,Mishana Tyrannulet,1,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S6591590
3027,Slender-footed Tyrannulet,1,Laguna Pañacocha,EC-U,18 Jun 2006,L2706233,S26162844
3028,Guianan Tyrannulet,2,Cristalino Jungle Lodge,BR-MT,12 Jun 2015,L4057506,S26216614
3029,Golden-faced Tyrannulet,1,Cascada de San Rafael--Entrance road and trail to waterfall,EC-N,28 Apr 2006,L577535,S26162772
3030,Peruvian Tyrannulet,1,Carretera La Cumbre,PE-PAS,22 Nov 2009,L846536,S6591537
3031,Northern Scrub-Flycatcher,,Río Tarcoles--Boat Tour,CR-P,06 Jan 2004,L1456779,S30625679
3032,Amazonian Scrub-Flycatcher,1,Hato El Porvenir,VE-E,08 Jan 2007,L4052211,S26161658
3033,Southern Scrub-Flycatcher,1,Comarapa -- southwest road,BO-S,17 Aug 2013,L2328805,S15100359
3034,Slender-billed Tyrannulet,1,Sanara - Quibor Road,VE-K,14 Jan 2007,L4052245,S26161778
3035,Plain Tyrannulet,1,Santa Cruz Botanical Gardens,BO-S,14 Aug 2013,L831297,S15100370
3036,Amazonian Tyrannulet,2,Cerro Urania,CO-VAU,08 Jun 2011,L1193327,S26147662
3037,Pale-tipped Tyrannulet,2,Laguna de Unare,VE-B,28 Dec 2006,L2473554,S26161648
3038,Ornate Flycatcher,1,Tucanopy Lodge and Reserve,EC-P,03 Apr 2006,L2248448,S26162635
3039,Many-colored Rush Tyrant,,Sanctuario Nacional Lagunas de Mejía,PE-ARE,14 Nov 2009,L2419119,S31626121
3040,Sharp-tailed Tyrant,,Barba Azul Nature Reserve,BO-B,12 Sep 2014,L1133586,S28880641
3041,Bronze-olive Pygmy-Tyrant,1,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",EC-P,15 Apr 2006,L1477858,S26162637
3042,Hazel-fronted Pygmy-Tyrant,3,Abra Maruncunca (Valqui 7.3),PE-PUN,08 Nov 2009,L2293372,S27891713
3043,Rufous-headed Pygmy-Tyrant,2,Cordillera Guacamayos--Trail from parking area,EC-N,22 Jun 2006,L468859,S26162779
3044,Ringed Antpipit,1,Yasuni Biological Research Station,EC-D,05 Jan 2008,L685430,S26162749
3045,Southern Antpipit,2,Chapada dos Guimarães--Road near the Mirante,BR-MT,10 Jun 2015,L4060733,S26238363
3046,Tawny-crowned Pygmy-Tyrant,1,Pacoche--Refugio de Vida Silvestre,EC-M,22 May 2006,L1208286,S26162762
3047,Rufous-sided Pygmy-Tyrant,4,Riberalta--Pampa San Lorenzo,BO-B,30 Aug 2013,L2339144,S15100312
3048,Gray-and-white Tyrannulet,3,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6591605
3049,Lesser Wagtail-Tyrant,3,Islas del Rio Amazonas de Iquitos,PE-LOR,30 Dec 2009,L853885,S6591592
3050,Greater Wagtail-Tyrant,2,Old Cochabamba Highway -- dirt track east of Comarapa,BO-S,16 Aug 2013,L2322941,S15100362
3051,Eared Pygmy-Tyrant,1,PE Intervales,BR-SP,14 Nov 2015,L972187,S26217582
3052,White-bellied Pygmy-Tyrant,1,Villa Rica,PE-PAS,21 Nov 2009,L846537,S6591536
3053,Black-capped Pygmy-Tyrant,1,La Selva (OTS Reserve),CR-H,28 Dec 2003,L436195,S30625723
3054,Short-tailed Pygmy-Tyrant,2,Reserva Forestal del Caura,VE-F,04 Jan 2007,L1341767,S26161646
