Row #,Species,Count,Location,S/P,Date,LocID,SubID
175,Sickle-winged Guan - Chamaepetes goudotii,2,Cabañas San Isidro,EC-N,22 Nov 2008,L489454,S4345440
176,Highland Guan - Penelopina nigra,1,Cerro Paquisis,GT-SO,08 May 2017,L4125641,S36717088
177,Horned Guan - Oreophasis derbianus,1,Cerro Paquisis,GT-SO,08 May 2017,L4125641,S36717088
178,Nocturnal Curassow - Nothocrax urumutum,2,Yasuni Biological Research Station,EC-D,06 Jan 2011,L685430,S7430519
179,Salvin's Curassow - Mitu salvini,1,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
180,Great Curassow - Crax rubra,,PN Arenal,CR-A,11 Jan 2006,L325849,S3704819
181,Helmeted Guineafowl - Numida meleagris,6,Gambela--Airport Road,ET-GA,16 Dec 2014,L3223185,S20934343
182,Vulturine Guineafowl - Acryllium vulturinum,45,Wachile-Mega road,ET-OR,05 Jan 2015,L3332311,S21633713
183,Long-tailed Wood-Partridge - Dendrortyx macroura,2,Camino La Cumbre--Oeste,MX-OAX,13 Jan 2013,L304462,S12593871
184,Buffy-crowned Wood-Partridge - Dendrortyx leucophrys,4,Cerro Paquisis,GT-SO,08 May 2017,L4125641,S36717088
185,Northern Bobwhite - Colinus virginianus,10,Barnstable,US-MA,19 Dec 2006,L111983,S3704717
186,Black-throated Bobwhite - Colinus nigrogularis,6,Reserva de la Biosfera Ría Lagartos--Rancho San Salvador,MX-YUC,17 Feb 2014,L262288,S17077954
187,Crested Bobwhite - Colinus cristatus,1,RN Bellavista,CO-CAL,29 Jun 2011,L4465017,S8493272
188,Scaled Quail - Callipepla squamata,20,Portal,US-AZ,13 Jul 2007,L129060,S3681753
189,California Quail - Callipepla californica,3,RN Altos de Lircay,CL-ML,02 Feb 2010,L1186273,S5853334
190,Gambel's Quail - Callipepla gambelii,5,Sweetwater Wetlands,US-AZ,14 Jan 2007,L208918,S3681626
191,Montezuma Quail - Cyrtonyx montezumae,1,Cochise,US-AZ,19 Jul 2007,L110857,S3681761
192,Singing Quail - Dactylortyx thoracicus,2,Zona Arqueológica Palenque,MX-CHP,02 Jan 2013,L305877,S12469003
193,Marbled Wood-Quail - Odontophorus gujanensis,3,Yasuni Biological Research Station,EC-D,08 Jan 2011,L685430,S7430521
194,Chestnut Wood-Quail - Odontophorus hyperythrus,2,RNA Arrierito Antioqueño (Chestnut-capped Piha Reserve),CO-ANT,17 Jun 2011,L603931,S8440471
195,Dark-backed Wood-Quail - Odontophorus melanonotus,1,Refugio Paz de las Aves (Angel Paz),EC-P,26 Dec 2008,L674753,S4397658
196,Rufous-breasted Wood-Quail - Odontophorus speciosus,2,Waqanki/Quebrada Mishquiyaquillo--Senda Cresta (Trail to Ridge),PE-SAM,22 Dec 2009,L1652750,S5980300
197,Black-breasted Wood-Quail - Odontophorus leucolaemus,,Monteverde,CR-P,06 Jan 2006,L311635,S3704812
198,Stripe-faced Wood-Quail - Odontophorus balliviani,6,Corani--aquaduct road,BO-C,20 Aug 2013,L997580,S14966854
199,Spotted Wood-Quail - Odontophorus guttatus,1,Lagunas de Volcán,PA-4,22 Mar 2009,L454684,S4785252
200,Rufous-throated Partridge - Arborophila rufogularis,6,Doi Inthanon NP--summit (Ang Ka),TH-50,15 Feb 2017,L1757576,S34379366
201,Bar-backed Partridge - Arborophila brunneopectus,4,Kaeng Krachan NP--Ban Song Nok,TH-76,22 Feb 2017,L2871038,S34634527
202,Scaly-breasted Partridge - Arborophila chloropus,4,Doi Inthanon NP--Mae Ouam (Km 34.5),TH-50,16 Feb 2017,L971578,S34399941
203,Gray Peacock-Pheasant - Polyplectron bicalcaratum,2,Kaeng Krachan NP - 12.8038x99.4277,TH-76,21 Feb 2017,L5493051,S34610671
204,Brown Quail - Synoicus ypsilophorus,2,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
205,Common Quail - Coturnix coturnix,2,Doñana PN--Centro de Visitantes José Antonio Valverde,ES-AN,23 Apr 2008,L3677034,S6490729
206,Stubble Quail - Coturnix pectoralis,2,Western Treatment Plant (Werribee)--T Section Ponds,AU-VIC,08 Dec 2017,L1174063,S41005564
207,Rock Partridge - Alectoris graeca,1,Col de l'Aup,FR-V,29 Apr 2014,L2813311,S18138563
208,Red-legged Partridge - Alectoris rufa,,"Costa Del Sol, Spain",ES-AN,04 Apr 2005,L918645,S6489481
209,Tibetan Snowcock - Tetraogallus tibetanus,2,Balangshan--overlook area,CN-51,30 May 2016,L4658449,S30004321
210,Chestnut-naped Francolin - Pternistis castaneicollis,12,Bale Mts--Goba escarpment,ET-OR,31 Dec 2014,L2099193,S21327340
211,Erckel's Francolin - Pternistis erckelii,8,Debre Libanos--Lodge and Portuguese Bridge,ET-OR,19 Dec 2014,L1550631,S21327441
212,Scaly Francolin - Pternistis squamatus,12,Wondo Genet Forestry College,ET-SN,30 Dec 2014,L2099184,S21525186
213,Clapperton's Francolin - Pternistis clappertoni,3,Lake Langano--Simbo Lodge,ET-OR,28 Dec 2014,L3284689,S21523960
214,Harwood's Francolin - Pternistis harwoodi,6,Jemma Valley--Lemi escarpment,ET-AM,20 Dec 2014,L1550642,S21015734
215,Yellow-necked Francolin - Pternistis leucoscepus,5,Bilen Lodge,ET-AF,22 Dec 2014,L3236312,S21016101
216,Crested Francolin - Dendroperdix sephaena,4,Afar Plains -- first spot,ET-AF,22 Dec 2014,L3314774,S21523975
217,Mountain Bamboo-Partridge - Bambusicola fytchii,8,Doi Lang - 20.0619x99.0984,TH-50,14 Feb 2017,L5433020,S34358699
218,Chinese Bamboo-Partridge - Bambusicola thoracicus,1,CN-Sichuan - 29.7081x102.8390,CN-51,04 Jun 2016,L4677056,S30102636
219,Red Junglefowl - Gallus gallus,1,Xishuangbanna Tropical Botanical Garden (西双版纳热带植物园),CN-53,09 Jun 2016,L2356004,S30143704
220,Coqui Francolin - Peliperdix coqui,2,Yabello--Mega triangle,ET-OR,06 Jan 2015,L2099161,S21525202
221,Moorland Francolin - Scleroptila psilolaema,6,Bale Mts--Goba escarpment,ET-OR,02 Jan 2015,L2099193,S21327381
