Row #,Species,Count,Location,S/P,Date,LocID,SubID
2481,Yucatan Flycatcher,2,Yaax Che Jardín Botánico del Dr. Alfredo Barrera Marín,MX-ROO,24 Dec 2012,L2286958,S12361301
2482,Dusky-capped Flycatcher,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2483,Swainson's Flycatcher,2,Cerro Urania,CO-VAU,08 Jun 2011,L1193327,S8408934
2484,Panama Flycatcher,1,Ammo Dump Ponds,PA-3,24 Mar 2009,L1740339,S4785313
2485,Short-crested Flycatcher,2,La Selva Lodge,EC-U,19 Dec 2008,L471722,S4374956
2486,Sooty-crowned Flycatcher,1,Via Jaen-San Ignacio--Las Juntas,PE-CAJ,07 Jan 2010,L2462138,S6083590
2487,Pale-edged Flycatcher,2,Yanayacu Biological Station,EC-N,22 Nov 2008,L471438,S4346732
2488,Ash-throated Flycatcher,1,Parker River NWR,US-MA,12 Nov 2005,L129046,S3701674
2489,Nutting's Flycatcher,5,Arriaga foothills,MX-CHP,03 Jan 2013,L1865637,S12485209
2490,Great Crested Flycatcher,,Monroe,US-FL,18 Jan 2005,L111131,S3703443
2491,Brown-crested Flycatcher,,"Costa Rica, Carara, Arenal, Monteverde",CR-A,31 Dec 2005,L508496,S3704814
2492,Stolid Flycatcher,3,Botanical Gardens,DO-01,17 Mar 2012,L1456462,S10193242
2493,Lesser Kiskadee,2,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2494,Great Kiskadee,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2495,Boat-billed Flycatcher,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2496,Rusty-margined Flycatcher,5,Mindo--general area (*Please consider using a more specific hotspot or personal location when possible.),EC-P,23 Dec 2008,L574561,S4397710
2497,Social Flycatcher,,Puntarenas,CR-P,03 Jan 2006,L295309,S3704824
2498,Gray-capped Flycatcher,,PN Carara,CR-P,04 Jan 2006,L447761,S3704820
2499,Dusky-chested Flycatcher,1,ACR Cordillera Escalera--Túnel Tarapoto,PE-SAM,23 Dec 2009,L2273747,S5994199
2500,White-ringed Flycatcher,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2501,Yellow-throated Flycatcher,1,Senda Cerro Guacamaya,CO-VAU,13 Jun 2011,L1193326,S8408939
2502,Three-striped Flycatcher,2,Riberalta--Hamburgo,BO-B,29 Aug 2013,L2337822,S15043890
2503,Lemon-browed Flycatcher,5,Guacamayos Slope Road,EC-N,26 Nov 2008,L621558,S4346736
2504,Golden-crowned Flycatcher,1,Cabañas San Isidro,EC-N,22 Nov 2008,L489454,S4345440
2505,Baird's Flycatcher,12,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6084055
2506,Streaked Flycatcher,,PN Carara,CR-P,02 Jan 2006,L447761,S3704826
2507,Sulphur-bellied Flycatcher,2,Cave Creek Canyon--South Fork,US-AZ,14 Jul 2007,L129099,S3681755
2508,Piratic Flycatcher,3,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2509,Variegated Flycatcher,1,Cerro Urania,CO-VAU,08 Jun 2011,L1193327,S8408934
2510,Crowned Slaty Flycatcher,1,Ceima Cachivera,CO-VAU,11 Jun 2011,L1451759,S8408941
2511,Sulphury Flycatcher,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2512,Tropical Kingbird,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2513,Couch's Kingbird,1,Puerto Morelos--north end,MX-ROO,16 Dec 2012,L1839062,S12305177
2514,Cassin's Kingbird,6,Cochise,US-AZ,12 Jul 2007,L110857,S3681757
2515,Thick-billed Kingbird,3,Patagonia Lake State Park,US-AZ,21 Jul 2007,L129050,S3681760
2516,Western Kingbird,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2517,Eastern Kingbird,,"Vinebrook/Arboretum Roads, Manomet",US-MA,30 May 2005,L3676241,S3703334
2518,Gray Kingbird,1,Zona Colonial,DO-01,16 Mar 2012,L1455819,S10188730
2519,Scissor-tailed Flycatcher,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2520,Fork-tailed Flycatcher,,PN Carara,CR-P,02 Jan 2006,L447761,S3704826
2521,Green-and-black Fruiteater,3,Guacamayos Slope Road,EC-N,26 Nov 2008,L621558,S4346736
2522,Band-tailed Fruiteater,1,Senda Paty,PE-HUC,09 Dec 2009,L846540,S5877073
2523,Barred Fruiteater,3,Puente Carrizales,PE-JUN,25 Nov 2009,L846530,S5877058
2524,Golden-breasted Fruiteater,1,RNA Arrierito Antioqueño (Chestnut-capped Piha Reserve),CO-ANT,17 Jun 2011,L603931,S8440471
2525,Orange-breasted Fruiteater,1,Mindo Loma,EC-P,28 Dec 2008,L889462,S4397719
2526,Black-chested Fruiteater,2,Cabañas San Isidro,EC-N,29 Nov 2008,L489454,S4345445
2527,Masked Fruiteater,2,Senda Paty,PE-HUC,09 Dec 2009,L846540,S5877073
2528,Scarlet-breasted Fruiteater,1,Upper Loreto Road (800-1400 m),EC-N,28 Nov 2008,L468856,S4346725
2529,Fiery-throated Fruiteater,1,Waqanki/Quebrada Mishquiyaquillo--Senda Cresta (Trail to Ridge),PE-SAM,19 Dec 2009,L1652750,S5980297
2530,Scaled Fruiteater,1,Bellavista--camino a la estación científica (research station road),EC-P,25 Dec 2008,L627342,S4397732
2531,White-cheeked Cotinga,1,PN Huascarán--Abra Portachuelo,PE-ANC,23 Jan 2010,L688976,S6084236
2532,Peruvian Plantcutter,9,Mocupe,PE-LAM,18 Jan 2010,L863288,S6084062
2533,White-tipped Plantcutter,2,Old Cochabamba Highway -- plantcutter spot,BO-C,18 Aug 2013,L2324447,S14953574
2534,Rufous-tailed Plantcutter,2,Laguna del Maule and environs,CL-ML,03 Feb 2010,L843341,S5853332
2535,Bay-vented Cotinga,1,Bosque Unchog (Valqui D5.3),PE-HUC,11 Dec 2009,L602837,S5877076
2536,Red-crested Cotinga,6,Reserva Ecológica Cayambe-Coca,EC-N,30 Nov 2008,L621682,S4346792
2537,Chestnut-crested Cotinga,1,ACP Abra Patricia--Owlet Lodge,PE-AMA,18 Dec 2009,L1849237,S5994198
2538,Guianan Cock-of-the-rock,1,Cerro Urania,CO-VAU,08 Jun 2011,L1193327,S8408934
2539,Andean Cock-of-the-rock,4,Cabañas San Isidro,EC-N,24 Nov 2008,L489454,S4345442
2540,Olivaceous Piha,1,Upper Loreto Road (800-1400 m),EC-N,23 Nov 2008,L468856,S4346724
2541,Purple-throated Fruitcrow,3,La Selva Lodge,EC-U,16 Dec 2008,L471722,S4374954
